2025-01-11 16:18:01 DEBUG Connection:131 - {conn-10001,procId-1382} connected
2025-01-11 16:18:01 DEBUG Statement:136 - {conn-10001, stmt-20000} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000, rs-50000} query executed. 182.7038 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10001, stmt-20000, rs-50000} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10001, stmt-20000} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10002,procId-1383} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001, rs-50001} query executed. 0.4621 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10002, stmt-20001, rs-50001} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10002, stmt-20001} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10003,procId-1384} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002, rs-50002} query executed. 0.4906 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10003, stmt-20002, rs-50002} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10003, stmt-20002} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10004,procId-1385} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003, rs-50003} query executed. 0.4446 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10004, stmt-20003, rs-50003} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10004, stmt-20003} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005,procId-1386} connected
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} created
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004, rs-50004} query executed. 0.4083 millis. SELECT 1
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} Header: [1]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, stmt-20004, rs-50004} closed
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20004} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} pool-connect
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} setAutoCommit false
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} created. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Parameters : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} Types : []
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005, rs-50005} query executed. 2.5214 millis. select player_id, name, mails_read, mails_collect from player
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} open
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Header: [player_id, name, mails_read, mails_collect]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159365017600, VSTnkhKfOI, 533175069885595648,533175027183386624,533174988797116416,530277108780367872,533174984548286464,530277108230914048,533175091339460608,533174992995614720,533175014277513216,533175061396324352,530277108344160256,533174997298970624,530277108381908992,533174976042237952,533175040101842944,532458376792113152,533175048570142720,530277108495155200,532458418420580352,530277108147027968,533175018610229248,533174967548772352,532458523680833536,532464245269331968,533175057126522880,530277108528709632,530277108566458368,533175052881887232,533174980257513472,533175035752349696,532464224616579072,533175001514246144,532458397369368576,530277108625178624,530277108751007744,530277108658733056,530277108595818496,530277108268662784,532458502604455936,533175082749526016,530277108692287488,533175010024488960,530277108419657728,530277108306411520,532458439505346560,532458460531392512,533175031457382400,530277108188971008,530277108453212160,530277107647905792,530277108721647616,533175005813407744,533175078458753024,533175044291952640,533174971730493440,533175074155397120,533175065607405568,532458481544855552,533175087040299008,533175022917779456,533176006771474432,533175994016595968,533176036739776512,533175998236065792,533175976882864128,533176028187590656,533176019668959232,533175981161054208,533175942778978304,533176040959246336,533175968309706752,533175955521273856,533175959799463936,533176053873508352,533176032478363648,533176023896817664,533175947099111424,533176045279379456,533176002497478656,533175938551119872,533176049582735360,533175972600479744,533176062442471424,533175985426661376,533176011099996160,533175989700657152,533175951318581248,533176058160087040,533175964107014144,533176015390769152,533156578128297984,533156530925600768,533156582498762752,533156569580306432,533156547996418048,533156586651123712,533156591394881536,533156539716861952,533156591336161280,533119448354127872,533156556540215296,533156552392048640,533156552471740416,533156565453111296,533156594658050048,533156594720964608,533156556481495040,533156586592403456,533156590929313792,533156590413414400,533156577679507456,533156587091525632,533156556728958976,533156565335670784,533156578254127104,533156590472134656,533156556749930496,533156539561672704,533156582381322240,533156552543043584,533156590392442880,533156582016417792,533156594691604480,533156573434871808,533156561321721856,533156560759685120,533156586206527488,533156590870593536,533156586743398400,533156590832844800,533156582557483008,533156573493592064,533156569286705152,533156535317037056,533156586147807232,533156578367373312,533156594611912704,533156569727107072,533156594632884224,533156586319773696,533156547971252224,533156548180967424,533156565042069504,533156590446968832,533156581924143104,533156556456329216,533156535199596544,533156578312847360,533156586357522432,533156561183309824,533156535262511104,533156543760171008,533156591021588480,533156565310504960,533156581903171584,533156569857130496,533156577633370112,533156530992709632,533156582343573504,533156526806794240,533156582586843136,533156518015533056,533156539515535360,533156591113863168,533156543911165952,533156517990367232,533156573527146496,533156582612008960,533156577746616320,533156526689353728,533116915254558720,533156582473596928,533156578283487232,533156574135320576,533156577784365056,533156552362688512,533156547946086400,533156569202819072,533156548235493376,533156586927947776,533156526710325248,533156565365030912,533156590899953664,533156587288657920,533156531235979264,533156586273636352,533127492395859968,533156573560700928,533156535174430720,533156574097571840,533181543810596864,533181548088786944,533181488445784064,533181573602738176,533181594897219584,533181586395365376,533181531051524096,533181509769625600,533181577880928256,533181522595807232,533181479960707072,533181539607904256,533181599171215360,533181582171701248,533181484264062976,533181556615806976,533181518292451328,533181560919162880,533181492732362752,533181569374879744,533181501309714432,533181552404725760,533181475665739776,533181590702915584,533181535308742656,533181565142827008,533181505562738688,533181526819471360,533181514085564416,533181497018941440,, 530277108658733056,530277108381908992,530277108230914048,530277108595818496,530277108268662784,530277108692287488,530277108419657728,530277108566458368,530277108306411520,530277108528709632,530277108780367872,530277108453212160,530277108188971008,530277107647905792,530277108147027968,530277108721647616,]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159377600512, OEJMYrsaz, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159390183424, owtvlHwa, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159406960640, ejsrmnpAN, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159419543552, NyHSgOZQ, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159432126464, voGiDvict, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159444709376, IFwzqXCA, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159457292288, FnEgHJaCc, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159474069504, XeDcJZkHJj, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159486652416, HEmUfTKz, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159507623936, ImfETvzq, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159528595456, UsWDDstF, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159545372672, wySVCwuvjy, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159557955584, BGCZpKsfKc, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159570538496, gRiBixEYe, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159583121408, Rmaewsvw, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159595704320, ARvNCiKLLO, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159612481536, WtHsfAAtaj, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159625064448, lZzppJcYj, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159641841664, LEyrJpXLR, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159654424576, LFRGdAeZ, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159671201792, hCUTjfTyqP, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159683784704, mkpRmvSgtX, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159700561920, iSVaJkKJP, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159713144832, QidoKQxBWl, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159729922048, AZMADTWFgt, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159746699264, PJiqVssd, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159755087872, QXGyDtQbk, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159767670784, lakEXZPpkn, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159784448000, vjsuQakTlW, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159797030912, YZKaniFvl, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159809613824, yvhTbLYTCY, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159822196736, RyzxPXBb, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159834779648, axRibeQg, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159847362560, NIcstcnG, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159859945472, gZkMXOQts, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159872528384, CISYrdzR, 532458439505346560,532464245269331968,532458418420580352,530277108230914048,530277108344160256,530277108381908992,, 530277108230914048,]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159889305600, RgnlAdYS, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159901888512, bZSVNbAhg, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159914471424, IOpxZVPL, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159927054336, ywgmunxw, , 530277108721647616,530277107647905792,530277108381908992,]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159943831552, uPfkgifbsU, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159960608768, ekWDNrnsFX, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159977385984, rBomgnQe, 532861674936336384,, ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125159989968896, YzJBxtbN, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160006746112, VAiSSfyJ, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160019329024, MWTYacVIMU, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160036106240, hKGlIyrMWF, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160048689152, RnLrgNSBWd, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160065466368, TxFCLwxsbY, , 530277108147027968,530277108595818496,530277108658733056,530277108419657728,]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160078049280, qWedWRnq, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160090632192, fKjgrfoud, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160107409408, iMnFDaji, 530277108625178624,530277108453212160,530277108147027968,530277108721647616,532458523680833536,530277107647905792,530277108419657728,530277108344160256,532458481544855552,530277108566458368,530277108306411520,530277108780367872,530277108188971008,532458418420580352,532464245269331968,530277108268662784,530277108595818496,, ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160119992320, hxanZQDrch, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160132575232, wVqyKdzMFe, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160145158144, OuiFpPyi, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160157741056, NGqxzOIRD, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160170323968, sypRAilm, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160182906880, WybWlhTEpk, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160195489792, GRTLeHtM, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160208072704, jLJDCeCP, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160220655616, ztqhOrMb, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160233238528, OsfQelIalv, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160245821440, othhZsYd, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160258404352, qfbKEsQxkK, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160270987264, PbbzibxVi, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160283570176, ZtmeCLqKD, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160296153088, DThhGbXT, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160312930304, woaVVcZYe, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160325513216, UMWHBnUm, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160338096128, vlzOjpUz, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160350679040, rYVMoLdPP, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160363261952, UMRUXzYxi, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160375844864, GdsimvBXd, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160388427776, QjnWoRHq, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160401010688, QVisopWGU, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160417787904, umwiSGSQ, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160434565120, pfWCNOwOn, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160447148032, cwwGciqbx, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160459730944, PVfMrWVar, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160476508160, XACjnNBuV, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160493285376, JLhCHXlZJ, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160514256896, YwXGnYAzV, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160531034112, EsXFIRVIkm, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160547811328, UsARHvvTCd, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160568782848, OEOgxihtt, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160585560064, CrztVheni, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160602337280, nitehiZC, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} Result: [532125160619114496, yEzViBjhhq, , ]
2025-01-11 16:18:02 DEBUG ResultSet:141 - {conn-10005, pstmt-20005, rs-50005} closed
2025-01-11 16:18:02 DEBUG Connection:131 - {conn 10005} rollback
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} setAutoCommit true
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, pstmt-20005} clearParameters. 
2025-01-11 16:18:02 DEBUG Statement:136 - {conn-10005, stmt-20005} clearBatch. 
2025-01-11 16:18:02 DEBUG PreparedStatementPool:128 - {conn-10005, pstmt-20005} enter cache
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} pool-recycle
2025-01-11 16:18:02 DEBUG Connection:131 - {conn-10005} pool-connect
